practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, 30], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, 10], [750, -10], [500, 10], [500, 30], [250, 10], [250, -10]], 'y': [[1], [1], [1], [-1], [-1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1], [1], [-1], [-1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",125,10,0.002285440948074376,False,0.01142670027911663,None,['space'],1,[0.756325899856165],193.89117159997113,194.9147791999858,None,1,194.9147791999858,193.89117159997113,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, 30], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, 10], [750, -10], [500, 10], [500, 30], [250, 10], [250, -10], [125, 10]], 'y': [[1], [1], [1], [-1], [-1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1], [1], [-1], [-1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",125,-10,0.0002285440948074376,False,0.008115400094538927,None,None,0,,196.1297852001153,197.1527285000775,None,1,197.1527285000775,196.1297852001153,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, 30], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, 10], [750, -10], [500, 10], [500, 30], [250, 10], [250, -10], [125, 10], [125, -10]], 'y': [[1], [1], [1], [-1], [-1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1], [1], [-1], [-1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",176.7766952966369,0.0,0.0003500209769801159,False,0.014711233088746667,None,None,0,,200.91632520011626,201.93525430001318,None,1,201.93525430001318,200.91632520011626,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,353.5533905932738,8.0,0.0002225841099115047,False,0.012667866423726082,None,['space'],1,[0.41349339997395873],205.40126910014078,206.4063308001496,None,1,206.4063308001496,205.40126910014078,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,-10.0,5.740768107484415e-05,False,0.004761300282552838,None,['space'],1,[0.4425788000226021],209.22881030011922,210.23515000008047,None,1,210.23515000008047,209.22881030011922,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.015066933585330844,None,None,0,,212.87259909999557,213.87751760007814,None,1,213.87751760007814,212.87259909999557,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,535.8867312681471,10.0,0.00020822445587443392,False,0.013364800019189715,None,['space'],1,[0.4185902997851372],217.41180240013637,218.42841839999892,None,1,218.42841839999892,217.41180240013637,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,2.0,0.000909850429304992,False,0.006954100215807557,None,None,0,,222.4206022999715,223.4252610001713,None,1,223.4252610001713,222.4206022999715,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,2639.015821545789,0.0,7.725655650415703e-05,False,0.005204033339396119,None,None,0,,227.5665848001372,228.57029379997402,None,1,228.57029379997402,227.5665848001372,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,203.0630990890589,5.0,0.00046135863973359204,False,0.010244766715914011,None,['space'],1,[0.45730439969338477],232.4303514000494,233.44204250001349,None,1,233.44204250001349,232.4303514000494,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.011690733255818486,None,None,0,,235.9272396999877,236.93436389998533,None,1,236.93436389998533,235.9272396999877,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,4594.793419988137,1.0,0.0001401013622855946,False,0.011688133236020803,0.2065906331408769,['space'],1,[0.3445171997882426],239.58248049998656,240.58195230015554,None,1,240.58195230015554,239.58248049998656,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
