sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,10,0,10,0,,,,,,,,1.3884896817651626,time,354.0,0.0,8.849638639228378e-05,0,37,[],0.008998266654089093,None,['space'],135.82198690006044,135.82198690006044,0.21100826666224748,1.59949794842741,136.03680140001234,135.82198690006044,[-1.1823685999261215],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,,146.37895010004286,None,2.519420092382547,frequency,5924.0,-1.9414504073556769,9.490234857487631e-05,0,38,[],0.011905166786164045,None,None,147.42516900005285,None,0.20641856675501913,2.7258386591375663,147.62863390007988,None,,137.4473241000669,None,0.5833333333333334,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
3,0,3,0,1,0,1,0,,,,,,,,2.961235365637953,frequency,3954.0,-1.4748385288346197,7.015037919341081e-05,0,39,[],0.00891166680958122,None,['space'],150.18519160000142,150.18519160000142,0.23154306679498404,3.192778432432937,150.40757540008053,150.18519160000142,[-2.2975744999712333],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
3,0,3,0,2,0,2,0,,,,,,,,1.695605716656773,frequency,2639.0,0.0,7.725753970277922e-05,0,40,[],0.002841666806489229,None,['space'],153.39507660001982,153.39507660001982,0.21104966674465686,1.90665538340143,153.61618400004227,153.39507660001982,[-2.836214500013739],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
3,0,3,0,3,0,3,0,,,,,,,,2.4947887629862118,frequency,,,,1,40,[],0.009975766763091087,None,['space'],155.33598319999874,155.33598319999874,0.22679416672326624,2.721582929709478,155.55775430006906,155.33598319999874,[-1.609143599984236],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
3,0,3,0,4,0,4,0,,,,,,,,2.974404665913662,frequency,1175.0,-1.9002787205679963,4.127757231014035e-05,0,41,[],0.011211866745725274,0.2074507666984573,None,158.0766085999785,158.0766085999785,0.2074507666984573,3.181855432612119,158.28231350006536,158.0766085999785,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
3,0,3,0,5,0,5,0,,,,,,,,1.8991564893003463,frequency,784.0,-0.25187227338421103,3.7978170031818284e-05,0,42,[],0.0035298666916787624,None,['space'],161.2852687999839,161.2852687999839,0.20710526674520224,2.1062617560455488,161.50453939998988,161.2852687999839,[-2.7740681999130175],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
3,0,3,0,6,0,6,0,,,,,,,,1.9585725924976543,frequency,523.0,-0.2435808983708581,6.598019919600908e-05,0,43,[],0.00935326679609716,None,['space'],163.4305112999864,163.4305112999864,0.23188786674290895,2.190460459240563,163.65451540006325,163.4305112999864,[-1.670410000020638],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
3,0,3,0,7,0,7,0,,,,,,,,2.8439691564684146,frequency,349.0,3.570248968627525,0.0001354446492166965,0,44,[],0.004466466838493943,None,['space'],165.63855949998833,165.63855949998833,0.20741766679566354,3.051386823264078,165.85857200005557,165.63855949998833,[-1.0950242999242619],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
3,0,3,0,8,0,8,0,,,,,,,,1.2154194102449938,frequency,233.0,0.7304868888322043,0.00021840579330999706,0,45,[],0.009389366838149726,None,['space'],168.73206170008052,168.73206170008052,0.22151126677636057,1.4369306770213544,168.9560186000308,168.73206170008052,[-2.5874743999447674],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
