sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,2.122726216911718,frequency,1663.0,-3.08932417121002,4.175850806564497e-05,0,37,[],0.0041674666572362185,0.19512896667583846,None,99.44705089999479,99.44705089999479,0.19512896667583846,2.3178551835875565,99.65782799999579,99.44705089999479,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,1.676710037215917,frequency,2095.0,-7.45053107177395,3.262117406616107e-05,0,38,[],0.011393866705475375,0.2094332666893024,None,101.80975819999003,101.80975819999003,0.2094332666893024,1.8861433039052193,102.01740489999065,101.80975819999003,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,2.97787405104066,frequency,2639.0,-5.342904493865967,4.1763380889808713e-05,0,39,[],0.00401616666931659,0.19385376668651588,None,103.71823060000315,103.71823060000315,0.19385376668651588,3.171727817727176,103.92818249997799,103.71823060000315,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,2.1583768913237575,frequency,3325.0,-7.5889681036519665,3.009080017912719e-05,0,40,[],0.011279566708253697,None,None,106.93187739999848,106.93187739999848,0.2103256667032838,2.3687025580270413,107.14284119999502,106.93187739999848,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,2.278496139893152,frequency,4189.0,-8.62472604591647,3.591591261002981e-05,0,41,[],0.011279366648523137,0.20713356664055027,None,109.33194239999284,109.33194239999284,0.20713356664055027,2.485629706533702,109.53854849998606,109.33194239999284,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,2.794914188676076,frequency,5278.0,-8.0,5.672805746078511e-05,0,42,[],0.009368966682814062,0.20399976667249575,None,111.8374864999787,111.8374864999787,0.20399976667249575,2.9989139553485717,112.04370270000072,111.8374864999787,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,9,0,9,0,,,,,,,,1.5821896400801192,frequency,6650.0,-8.310568353122573,5.401450165996674e-05,0,43,[],0.011074966663727537,None,None,114.86672890000045,114.86672890000045,0.21224326666560955,1.7944329067457288,115.07786479999777,114.86672890000045,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
2,0,2,0,10,0,10,0,,,,,,,,2.6475111385171264,frequency,,,,1,43,[],0.011206666647922248,None,None,116.68394220000482,116.68394220000482,0.20886756663094275,2.856378705148069,116.89635490000364,116.68394220000482,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,,123.31818020000355,None,2.8903355982407075,none,281.0,5.7534469069415,0.0002611258148491863,0,26,[],0.013110966654494405,None,None,124.33728149998933,None,0.2227907666529063,3.113126364893614,124.55156140000327,None,119.56757839999045,None,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666]",ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,1,0,1,0,,,,,,,,2.9029710428314104,none,1413.0,0.3510963640350728,5.254402192224559e-05,0,27,[],0.01070846666698344,None,None,127.46260410000104,127.46260410000104,0.21044896668172441,3.113420009513135,127.67133049998665,127.46260410000104,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,2,0,2,0,,,,,,,,1.2475312862718442,none,1259.0,0.6515794969866914,5.851471445933324e-05,0,28,[],0.0108966666739434,None,None,130.60396379997837,130.60396379997837,0.20814226669608615,1.4556735529679303,130.8227302999876,130.60396379997837,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,3,0,3,0,,,,,,,,1.54637704472477,none,1122.0,-0.07432456637245466,4.873652823771977e-05,0,29,[],0.010705766646424308,None,None,132.09083919998375,132.09083919998375,0.21378596665454097,1.760163011379311,132.29975730000297,132.09083919998375,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,4,0,4,0,,,,,,,,2.771591084832184,none,500.0,2.309365892089256,9.320480430612017e-05,0,30,[],0.010920666652964428,None,None,133.8769934999873,133.8769934999873,0.21175856667105108,2.983349651503235,134.0869423999975,133.8769934999873,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,5,0,5,0,,,,,,,,2.9330729261009454,none,315.0,-0.7996203911237343,8.994747674288617e-05,0,31,[],0.010817466652952135,None,None,136.88040329999058,136.88040329999058,0.21016416666680016,3.1432370927677455,137.0929130000004,136.88040329999058,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,6,0,6,0,,,,,,,,1.2982128360863328,none,354.0,-1.0,7.887248739356936e-05,0,32,[],0.003572166635422036,0.19360496662557125,None,140.05669460000354,140.05669460000354,0.19360496662557125,1.491817802711904,140.2665478999843,140.05669460000354,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,7,0,7,0,,,,,,,,1.932163121588167,none,397.0,4.526748439075894,0.00013022770994652267,0,33,[],0.00964476662920788,0.20482866663951427,None,141.58515569998417,141.58515569998417,0.20482866663951427,2.1369917882276814,141.79700189997675,141.58515569998417,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,8,0,8,0,,,,,,,,1.9033705136758803,none,149.0,7.5205121312401255,0.0012100073587404637,0,34,[],0.01072636665776372,None,None,143.75413319998188,143.75413319998188,0.21027416666038334,2.1136446803362636,143.96613899999647,143.75413319998188,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,9,0,9,0,,,,,,,,1.5804831049850623,none,223.0,2.4813158836742932,0.0002932510999932191,0,35,[],0.007846566673833877,0.19966516667045653,None,145.89166799999657,145.89166799999657,0.19966516667045653,1.7801482716555188,146.10197550000157,145.89166799999657,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
3,0,3,0,10,0,10,0,,,,,,,,2.52544080417982,none,,,,1,35,[],0.005630666681099683,0.19462446667603217,None,147.71099110000068,147.71099110000068,0.19462446667603217,2.7200652708558524,147.9188512999972,147.71099110000068,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
