sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,,Audiogram_both,Audiogram_none,Audiogram_time,Audiogram_frequency,participant,session,language (english or french),date,expName,psychopyVersion,frameRate,
2,0,2,0,5,0,5,0,,,,,,,,2.2188010230144557,frequency,329.87697769322364,8.0,0.0002380236949658044,0,32,[],0.023186629870906472,None,['space'],122.91196639998816,122.91196639998816,0.22807172988541424,2.44687275289987,123.12989580002613,122.91196639998816,[-1.988577000098303],,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
2,0,2,0,6,0,6,0,,,,,,,,2.042798138375624,frequency,370.27438807164117,6.179809124339094,0.0001716606337819147,0,33,[],0.02268553012982011,None,['space'],125.3478401999455,125.3478401999455,0.23313683015294373,2.275934968528568,125.56083559989929,125.3478401999455,[-0.8574302000924945],,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
2,0,2,0,7,0,7,0,,,,,,,,2.569711699713114,frequency,415.618948071394,7.607187651957409,0.00018187713836324574,0,34,[],0.022906829603016376,None,['space'],127.60431179986335,127.60431179986335,0.22983312979340553,2.7995448295065195,127.81855429988354,127.60431179986335,[-1.4651578001212329],,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
2,0,2,0,8,0,8,0,,,,,,,,1.7729914093069017,frequency,466.51649576840384,7.667230931061386,0.0001768516437586414,0,35,[],0.022567430045455694,None,None,130.38021790003404,130.38021790003404,0.22965242993086576,2.0026438392377672,130.59581619990058,130.38021790003404,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
2,0,2,0,9,0,9,0,,,,,,,,2.002782107005015,frequency,,,,1,35,[],0.02296663005836308,None,None,132.3605680000037,132.3605680000037,0.22892073006369174,2.2317028370687066,132.5680317999795,132.3605680000037,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
3,0,3,0,0,0,0,0,,,,,,135.55325750005431,None,1.5900445254752884,both,185.13719403582053,7.42311885420146,0.0007511470627214789,0,27,[],0.023946129949763417,None,None,136.36061099986546,None,0.24049123004078865,1.830535755516077,136.57730879983865,None,,0.16666666666666666,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
3,0,3,0,1,0,1,0,,,,,,,,1.5900445254752884,both,207.80947403569695,7.796280199176254,0.0006137628392052283,0,28,[],0.022098629735410213,None,None,138.1620523999445,138.1620523999445,0.2307399297133088,1.8207844551885972,138.37316039996222,138.1620523999445,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
3,0,3,0,2,0,2,0,,,,,,,,1.5900445254752884,both,233.25824788420186,7.662449010679395,0.00048391214836261107,0,29,[],0.02104332996532321,None,None,139.9592406998854,139.9592406998854,0.22214762982912362,1.812192155304412,140.1759432000108,139.9592406998854,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
3,0,3,0,3,0,3,0,,,,,,,,1.5900445254752884,both,261.8235307051567,7.6747847091979065,0.00037492964184341975,0,30,[],0.02236642991192639,None,None,141.7606550999917,141.7606550999917,0.22850632993504405,1.8185508554103325,141.97671799990349,141.7606550999917,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
3,0,3,0,4,0,4,0,,,,,,,,1.5900445254752884,both,293.8869765709022,7.21056930242823,0.00027750603045714186,0,31,[],0.02121843001805246,None,None,143.56364139984362,143.56364139984362,0.22710483008995652,1.817149355565245,143.7769330998417,143.56364139984362,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
