sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_frequency,Audiogram_none,Audiogram_both,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
4,0,4,0,7,0,7,0,,,,,,,,2.1195370517470966,both,,,,1,62,[],0.009697966666863067,None,None,193.04274769999938,193.04274769999938,0.22416286666702945,2.343699918414126,193.26240020000023,193.04274769999938,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
5,0,5,0,0,0,0,0,,,,,,203.74209749999955,None,2.9429437837307644,both,8000.0,15.0,0.001020868972334765,0,63,[],0.013030566666202503,None,None,204.78035959999943,None,0.22785976666636998,3.1708035503971344,205.0033601999994,None,,195.372343,None,0.3333333333333333,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
5,0,5,0,1,0,1,0,,,,,,,,2.9429437837307644,both,6350.0,13.527135622824671,0.0006242527435552442,0,64,[],0.007033166665678436,None,['space'],207.9367553000002,207.9367553000002,0.2150527666663038,3.157996550397068,208.1544432999999,207.9367553000002,[-2.0402944000006755],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
5,0,5,0,2,0,2,0,,,,,,,,2.9429437837307644,both,5040.0,11.209815632581618,0.0005498528334429138,0,65,[],0.009133866666161339,None,['space'],211.09773080000014,211.09773080000014,0.22399916666654462,3.166942950397309,211.3195821999998,211.09773080000014,[-2.160660700000335],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
5,0,5,0,3,0,3,0,,,,,,,,2.9429437837307644,both,4000.0,12.371073418231575,0.0003487575958835186,0,66,[],0.009538166666061443,None,None,214.25720050000018,214.25720050000018,0.22901246666606312,3.1719562503968275,214.48136439999962,214.25720050000018,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
5,0,5,0,4,0,4,0,,,,,,,,2.9429437837307644,both,,,,1,66,[],0.009358966666695778,None,['space'],217.4214677,217.4214677,0.22404316666688828,3.1669869503976527,217.64085949999935,217.4214677,[-2.467980900000839],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
5,0,5,0,5,0,5,0,,,,,,,,2.9429437837307644,both,2520.0,12.452237465329675,0.00035501930074800434,0,67,[],0.010646566666764556,None,None,220.57441139999992,220.57441139999992,0.22238876666688157,3.165332550397646,220.793052,220.57441139999992,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
5,0,5,0,6,0,6,0,,,,,,,,2.9429437837307644,both,2000.0,14.52340302131881,0.00039823566832904254,0,68,[],0.009417466666491237,None,['space'],223.73558069999945,223.73558069999945,0.22748696666621981,3.170430750396984,223.95481199999995,223.73558069999945,[-2.319326299999375],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
5,0,5,0,7,0,7,0,,,,,,,,2.9429437837307644,both,1587.0,14.643854092750706,0.00030038333279548387,0,69,[],0.0027368666660549934,None,['space'],226.8937608999995,226.8937608999995,0.21056436666640366,3.153508150397168,227.1135420999999,226.8937608999995,[-2.3730815999997503],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
5,0,5,0,8,0,8,0,,,,,,,,2.9429437837307644,both,1260.0,14.899597129551182,0.00030162498183340924,0,70,[],0.00919406666616851,None,['space'],230.05223169999954,230.05223169999954,0.23137426666562533,3.1743180503963897,230.28179009999985,230.05223169999954,[-2.4755519000000277],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
6,0,6,0,0,0,0,0,,,,,,238.04274879999957,None,1.1692506472438244,frequency,8000.0,11.0,0.000644124775846567,0,70,[],0.012903166666546895,None,None,239.07646380000006,None,0.23830586666645104,1.4075565139102755,239.30429370000002,None,,233.21950370000013,None,0.3333333333333333,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
