sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,1.1102427009374767,both,2143.5469250725887,25.863813230902682,0.0015319722220456502,0,36,[],0.02136800999960542,None,['space'],86.6828658999998,86.6828658999998,0.2223746099998607,1.3326173109373374,86.89686699999993,86.6828658999998,[-0.9044222000002264],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,4,0,4,0,,,,,,,,1.1102427009374767,both,1701.334321901713,24.858504874223613,0.0010729280293535078,0,37,[],0.021257710000099905,None,['space'],88.01167840000016,88.01167840000016,0.22053201000016998,1.3307747109376467,88.21957449999991,88.01167840000016,[-0.905777400000261],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,5,0,5,0,,,,,,,,1.1102427009374767,both,1350.3499461681913,26.18350183012893,0.0010600530725612975,0,38,[],0.019534609999936947,None,['space'],89.33084749999989,89.33084749999989,0.21366400999977486,1.3239067109372515,89.53818820000015,89.33084749999989,[-0.9759966000001441],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,6,0,6,0,,,,,,,,1.1102427009374767,both,1071.7734625362941,36.0,0.002968939571619038,0,39,[],0.019184709999990446,0.21347830999957296,['space'],90.64927510000007,90.64927510000007,0.21347830999957296,1.3237210109370496,90.85785570000007,90.64927510000007,[-0.9826464000002488],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,7,0,7,0,,,,,,,,1.1102427009374767,both,850.6671609508564,19.571558435375447,0.00037892188109880156,0,40,[],0.013747109999712848,None,['space'],91.97383549999995,91.97383549999995,0.20701390999965952,1.3172566109371362,92.18860489999997,91.97383549999995,[-0.9158489000001282],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,8,0,8,0,,,,,,,,1.1102427009374767,both,675.1749730840955,28.844610143212147,0.001306776585358096,0,41,[],0.020977509999738686,None,['space'],93.30171000000018,93.30171000000018,0.22023790999992343,1.3304806109374,93.50812619999988,93.30171000000018,[-0.9151762000001327],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,9,0,9,0,,,,,,,,1.1102427009374767,both,535.8867312681471,34.900712263055816,0.003660727055638108,0,42,[],0.019808110000212764,0.21487510999986625,['space'],94.61995530000013,94.61995530000013,0.21487510999986625,1.325117810937343,94.82623180000019,94.61995530000013,[-0.9215264999997999],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,10,0,10,0,,,,,,,,1.1102427009374767,both,425.3335804754282,25.32756591371654,0.0013897669737475908,0,43,[],0.015202409999801603,0.20630901000004087,['space'],95.94046329999992,95.94046329999992,0.20630901000004087,1.3165517109375175,96.14595770000005,95.94046329999992,[-0.9464950999999928],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,11,0,11,0,,,,,,,,1.1102427009374767,both,337.58748654204777,35.63035546301508,0.005608742582703297,0,44,[],0.016790409999885014,0.20702630999994653,['space'],97.25781700000016,97.25781700000016,0.20702630999994653,1.3172690109374232,97.46326989999989,97.25781700000016,[-0.9194641999997657],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,12,0,12,0,,,,,,,,1.1102427009374767,both,,,,1,44,[],0.02107471000044825,None,['space'],98.57906820000017,98.57906820000017,0.224304110000503,1.3345468109379797,98.79986749999989,98.57906820000017,[-0.944571100000303],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,13,0,13,0,,,,,,,,1.1102427009374767,both,212.6667902377141,30.825670118361653,0.008368069652345217,0,45,[],0.02198670999996466,None,None,99.89685629999985,99.89685629999985,0.2248334099999738,1.3350761109374505,100.11215020000009,99.89685629999985,,,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
2,0,2,0,14,0,14,0,,,,,,,,1.1102427009374767,both,168.79374327102389,30.84219937975713,0.013208627487252472,0,46,[],0.020546910000120988,None,['space'],101.2218997,101.2218997,0.22526301000016247,1.3355057109376391,101.43355729999985,101.2218997,[-0.8516472000001158],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
3,0,3,0,0,0,0,0,,,,,0.3333333333333333,105.54707009999993,None,2.6015994872116095,frequency,707.1067811865478,18.587082421863457,0.000377368742751227,0,26,[],0.023149210000156017,None,None,106.5686641000002,None,0.23970710999992662,2.841306597211536,106.78645199999983,None,,102.53906159999997,None,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
3,0,3,0,1,0,1,0,,,,,,,,2.3205565452549357,frequency,561.2310241546867,19.0,0.0005516186936588643,0,27,[],0.020079610000266257,0.21720011000024897,['space'],109.3847479000001,109.3847479000001,0.21720011000024897,2.5377566552551847,109.58941199999981,109.3847479000001,[-2.3412787000002027],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
3,0,3,0,2,0,2,0,,,,,,,,2.116048142717183,frequency,445.44935907016975,21.001529765953165,0.0008330440985717894,0,28,[],0.020689110000148503,None,['space'],111.91126579999991,111.91126579999991,0.21985090999987733,2.3358990527170604,112.12491790000013,111.91126579999991,[-2.117260100000294],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
3,0,3,0,3,0,3,0,,,,,,,,2.6629397311975342,frequency,353.55339059327383,22.85410008903763,0.001230833085017268,0,29,[],0.013640810000197234,0.20350341000039407,['space'],114.24653369999987,114.24653369999987,0.20350341000039407,2.8664431411979283,114.45158720000018,114.24653369999987,[-1.9718730000004143],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
3,0,3,0,4,0,4,0,,,,,,,,2.501943099744131,frequency,280.6155120773433,20.022514075952465,0.0013539887492087655,0,30,[],0.018654410000635835,0.21257641000056537,['space'],117.10999099999981,117.10999099999981,0.21257641000056537,2.7145195097446964,117.31524189999982,117.10999099999981,[-2.4673321000000215],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
3,0,3,0,5,0,5,0,,,,,,,,2.2677278559277987,frequency,222.72467953508485,18.544022530692846,0.001868257199258077,0,31,[],0.020570610000049783,None,['space'],119.81968259999985,119.81968259999985,0.21885231000032945,2.486580165928128,120.03459299999986,119.81968259999985,[-2.360956000000442],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
3,0,3,0,6,0,6,0,,,,,,,,1.368865460138683,frequency,176.7766952966369,19.0,0.003119565241000184,0,32,[],0.020577110000431276,None,None,122.30495530000007,122.30495530000007,0.22129501000017626,1.5901604701388592,122.52414910000016,122.30495530000007,,,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
3,0,3,0,7,0,7,0,,,,,,,,1.0773328332936083,frequency,140.3077560386716,17.467606296746222,0.004381292352479103,0,33,[],0.017619610000110697,None,['space'],123.88438929999984,123.88438929999984,0.20839461000014126,1.2857274432937496,124.09425009999995,123.88438929999984,[-1.2255631000002722],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
3,0,3,0,8,0,8,0,,,,,,,,1.5964965344534814,frequency,,,,1,33,[],0.020579609999913373,None,['space'],125.1748619,125.1748619,0.22133610999981101,1.8178326444532924,125.39511949999996,125.1748619,[-0.8036794000004193],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
4,0,4,0,0,0,0,0,,,,,,133.03390549999995,None,2.7965309658160393,none,150.37812951026467,27.977750536707916,0.012446702572931085,0,34,[],0.023000609999598964,None,None,134.05790960000013,None,0.23412110999970537,3.0306520758157447,134.2728563999999,None,,126.98772650000001,None,"[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334]",ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
