practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.rt,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,500.0,3.0,0.0001009183181840781,False,0.0014439666410908103,None,None,0,,348.38844999999856,349.3972498999792,None,1,349.3972498999792,348.38844999999856,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,1414.213562373095,0.0,5.043234004607858e-05,False,0.010178366675972939,None,None,0,,353.3308144999901,354.34943019997445,None,1,354.34943019997445,353.3308144999901,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,4287.0938501451765,-9.0,3.679199781899326e-05,False,0.006213233340531588,0.1949268333555665,['space'],1,[0.5741397000092547],357.230773599993,358.226914400002,None,1,358.226914400002,357.230773599993,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.01162363335606642,None,None,0,,360.4740797999839,361.4855617999856,None,1,361.4855617999856,360.4740797999839,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,757.8582832551998,-3.0,2.8519041826256792e-05,False,0.016209799970965832,None,None,0,,364.76354189999984,365.76038179997704,None,1,365.76038179997704,364.76354189999984,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,-4.0,0.00011454338263838867,False,0.0026120000111404806,0.18956629998865537,None,0,,370.18133079999825,371.2086177000019,None,1,371.2086177000019,370.18133079999825,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,7.0,0.0016179682846481417,False,0.01656889999867417,None,None,0,,375.62340329997824,376.6340132999758,['space'],0,376.6340132999758,375.62340329997824,[0.27529170000343584],,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,5656.85424949238,-12.0,3.228369032068457e-05,False,0.009544366708723828,None,['space'],1,[0.5356123000092339],380.3090293999994,381.33365229997435,None,1,381.33365229997435,380.3090293999994,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.007900733355199918,None,None,0,,384.2081794999831,385.22083179999026,None,1,385.22083179999026,384.2081794999831,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,1866.0659830736151,-2.0,5.462138219158348e-05,False,0.004112399998120964,None,None,0,,388.515593899996,389.51964809998753,None,1,389.51964809998753,388.515593899996,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
