sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,7,0,7,0,,,,,,,,2.657005643628879,time,3689.0,-2.776891652976127,5.700582730774656e-05,0,42,[],0.010598266671877354,None,['space'],164.1693699999887,164.1693699999887,0.21260376667487435,2.8696094103037533,164.38447059999453,164.1693699999887,[-2.4118576000037137],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,2.657005643628879,time,2462.0,-2.0,6.756004937466901e-05,0,43,[],0.010348566633183509,None,"['space', 'space']",167.06899130000966,167.06899130000966,0.21335296661709435,2.8703586102459733,167.29204939998453,167.06899130000966,"[-2.608137600007467, 0.13629709999077022]",,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,9,0,9,0,,,,,,,,2.657005643628879,time,1162.0,-1.7506792482676752,4.1550169411068975e-05,0,44,[],0.002109566645231098,0.19458866663626395,None,169.96958030000678,169.96958030000678,0.19458866663626395,2.851594310265143,170.1810828000016,169.96958030000678,,,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
2,0,2,0,10,0,10,0,,,,,,,,2.657005643628879,time,461.0,-1.733825974251331,6.014872351919306e-05,0,45,[],0.008591966645326465,None,['space'],172.86715249999543,172.86715249999543,0.2039166666509118,2.8609223102797907,173.07918770000106,172.86715249999543,[-2.5582661000080407],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334]",177.73039559999597,None,2.1057345752630336,time,1866.0,-4.0,4.3385426257573074e-05,0,46,[],0.012996766658034176,None,None,178.76370569999563,None,0.21734766665031202,2.3230822419133457,178.9770256000047,None,,175.76886989999912,None,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,1,0,1,0,,,,,,,,2.1057345752630336,time,1481.0,-3.6806514360634197,3.192699491943499e-05,0,47,[],3.846667823381722e-05,0.19373546668794006,['space'],181.1101498999924,181.1101498999924,0.19373546668794006,2.2994700419509737,181.32093329998315,181.1101498999924,[-1.8649876000126824],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,2,0,2,0,,,,,,,,2.1057345752630336,time,554.0,-3.955647306823965,3.9966922176199406e-05,0,48,[],0.010153366631129757,None,['space'],183.45843669999158,183.45843669999158,0.21426056663040072,2.3199951418934344,183.6734165000089,183.45843669999158,[-1.982011500018416],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,3,0,3,0,,,,,,,,2.1057345752630336,time,698.0,-4.177461987545479,2.7943460688231503e-05,0,49,[],0.009878066688543186,None,['space'],185.80776950001018,185.80776950001018,0.2136611666646786,2.3193957419277123,186.02088500000536,185.80776950001018,[-1.978599199996097],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,4,0,4,0,,,,,,,,2.1057345752630336,time,440.0,0.9145395093312836,8.27836309204071e-05,0,50,[],0.009909266664180905,None,['space'],188.1569421000022,188.1569421000022,0.2115484666719567,2.3172830419349904,188.38010330000543,188.1569421000022,[-1.759645099984482],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,5,0,5,0,,,,,,,,2.1057345752630336,time,2796.0,-2.973386941963516,4.79337505094175e-05,0,51,[],0.007805966655723751,None,['space'],190.502842899994,190.502842899994,0.20323696665582247,2.308971541918856,190.71700109998346,190.502842899994,[-1.9935216999729164],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,6,0,6,0,,,,,,,,2.1057345752630336,time,988.0,-1.5153362335316636,3.671366331891346e-05,0,52,[],0.010055566643131897,None,['space'],192.85509120000643,192.85509120000643,0.2109652666549664,2.316699841918,193.05936569999903,192.85509120000643,[-1.9771898999752011],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,7,0,7,0,,,,,,,,2.1057345752630336,time,349.0,-1.3862767125019468,7.654830325543448e-05,0,53,[],0.003072666673688218,0.1953354666766245,['space'],195.19595289998688,195.19595289998688,0.1953354666766245,2.301070041939658,195.4117006000015,195.19595289998688,[-2.0304826000065077],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,8,0,8,0,,,,,,,,2.1057345752630336,time,,,,1,53,[],0.005137566680787131,None,['space'],197.5454250999901,197.5454250999901,0.19970016667502932,2.305434741938063,197.7592699000088,197.5454250999901,[-2.044598800013773],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
3,0,3,0,9,0,9,0,,,,,,,,2.1057345752630336,time,4189.0,-5.728286945204863,5.01312878064514e-05,0,54,[],0.009773466706974432,None,['space'],199.8948349999846,199.8948349999846,0.21455376670928672,2.3202883419723204,200.1120823000092,199.8948349999846,[-1.5131299000058789],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
