sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
2,0,2,0,6,0,6,0,,,,,,,,1.4631187420294784,frequency,1149.0,13.0,0.00022461343774149428,0,54,[],0.022579639917239547,None,['space'],171.15481629990973,171.15481629990973,0.2276220399653539,1.6907407819948324,171.37362049997319,171.15481629990973,[-1.8389231000328436],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,1.2749452204262102,frequency,912.0,2.5611440963113266,5.580100777643503e-05,0,55,[],0.02242903981823474,None,['space'],172.85956399992574,172.85956399992574,0.22740503982640803,1.5023502602526182,173.07175699993968,172.85956399992574,[-1.3272423999151215],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,1.4764463245077046,frequency,724.0,11.791341978761531,0.0001668177863743258,0,56,[],0.022229939815588295,None,None,174.36833719990682,174.36833719990682,0.22786433983128518,1.7043106643389898,174.5839373000199,174.36833719990682,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,9,0,9,0,,,,,,,,1.0698948706559477,frequency,575.0,9.4576240327839,0.00017749264800351195,0,57,[],0.022145239869132638,None,['space'],176.08133299998008,176.08133299998008,0.22551963990554214,1.2954145105614898,176.29862689995207,176.08133299998008,[-1.2765568000031635],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,10,0,10,0,,,,,,,,2.2855746488986632,frequency,456.0,6.768870793728672,0.00016064585015441055,0,58,[],0.02155673992820084,None,['space'],177.39574459998403,177.39574459998403,0.22758833994157612,2.5131629888402394,177.61471409990918,177.39574459998403,[-0.9353344000410289],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,11,0,11,0,,,,,,,,1.2679059111706343,frequency,362.0,12.46769415172142,0.0003630751536227134,0,59,[],0.020578339928761125,None,['space'],179.9192605999997,179.9192605999997,0.22177043999545276,1.489676351166087,180.13557679997757,179.9192605999997,[-2.1468818000284955],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,12,0,12,0,,,,,,,,2.9241892494243276,frequency,287.0,11.172101664258555,0.0004642795624061281,0,60,[],0.022147039999254048,None,['space'],181.43267269991338,181.43267269991338,0.23116223991382867,3.1553514893381562,181.65316989994608,181.43267269991338,[-1.1237043999135494],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,13,0,13,0,,,,,,,,2.000080903084119,frequency,228.0,1.738022806291209,0.00025723399853488585,0,61,[],0.02204873994924128,None,['space'],184.60013859998435,184.60013859998435,0.2265432400163263,2.2266241431004454,184.81785879994277,184.60013859998435,[-2.8042453000089154],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
2,0,2,0,14,0,14,0,,,,,,,,2.25062043402868,frequency,181.0,1.447042106334215,0.00039530261938083475,0,62,[],0.02129914006218314,None,['space'],186.84322299994528,186.84322299994528,0.22629964002408087,2.476920074052761,187.06375749991275,186.84322299994528,[-1.8387403000378981],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,0.5833333333333334,191.70850539999083,None,1.6821527363520945,both,4288.0,-5.422434881343168,5.5576690031808634e-05,0,26,[],0.024524040054529905,None,None,192.7252424999606,None,0.2368409400805831,1.9189936764326776,192.94004309992306,None,,189.33226579998154,None,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
