sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
3,0,3,0,7,0,7,0,,,,,,,,2.9780008755669836,none,1190.0,1.2451155903019928,6.001444012443433e-05,0,47,[],0.006999666569754481,None,['space'],132.75223039998673,132.75223039998673,0.20801786659285426,3.186018742159838,132.97445370000787,132.75223039998673,[-1.4190797999035567],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,8,0,8,0,,,,,,,,1.1192364040190963,none,140.0,4.211289392939448,0.0009567770070918925,0,48,[],0.010070966556668282,None,['space'],135.98133799992502,135.98133799992502,0.21880916669033468,1.338045570709431,136.19963639997877,135.98133799992502,[-2.7771679998841137],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,9,0,9,0,,,,,,,,1.3574259874815509,none,2671.0,4.678731664015556,0.00012898895264484915,0,49,[],0.007197266677394509,None,None,137.34109789994545,137.34109789994545,0.21266756672412157,1.5700935542056724,137.5569990000222,137.34109789994545,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,10,0,10,0,,,,,,,,2.8071409396973777,none,630.0,7.340126943693964,0.00011911771435261171,0,50,[],0.006968366680666804,None,None,138.94477649987675,138.94477649987675,0.21559486677870154,3.022735806476079,139.15950739989057,138.94477649987675,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,11,0,11,0,,,,,,,,1.9964334015451348,none,2120.0,5.803885895038629,0.00015112567474391732,0,51,[],0.0101689666043967,None,None,141.99313140008599,141.99313140008599,0.22022256650961936,2.216655968054754,142.2155766999349,141.99313140008599,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,12,0,12,0,,,,,,,,1.1801978871404593,none,176.0,6.095085615019223,0.0007117771033339637,0,52,[],0.008010666584596038,None,None,144.23177419998683,144.23177419998683,0.2105826665647328,1.390780553705192,144.45110439998098,144.23177419998683,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
3,0,3,0,13,0,13,0,,,,,,,,1.0837828046391809,none,707.0,6.0,8.861421213226143e-05,0,53,[],0.009940466610714793,None,['space'],145.65569279994816,145.65569279994816,0.22765606665052474,1.3114388712897056,145.87648959993385,145.65569279994816,[-0.8355059998575598],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,0,0,0,0,,,,,,156.7059972998686,None,2.580827600430295,none,354.0,17.0,0.0006265064367964709,0,54,[],0.012844766490161419,None,['space'],157.75166879990138,None,0.2376325665973127,2.8184601670276077,157.98001120006666,None,[-3.2362758996896446],146.9878537999466,None,"[0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666]",,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,1,0,1,0,,,,,,,,2.226870485021649,none,236.0,8.787133988878697,0.0005360359243449805,0,55,[],0.009464066475629807,None,['space'],160.58041259995662,160.58041259995662,0.22307636658661067,2.4499468516082596,160.79773589991964,160.58041259995662,[-2.33528869994916],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,2,0,2,0,,,,,,,,2.9047322237757065,none,,,,1,55,[],0.008008466335013509,None,['space'],163.0523278999608,163.0523278999608,0.21969976648688316,3.1244319902625897,163.2706583000254,163.0523278999608,[-2.0551616000011563],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,3,0,3,0,,,,,,,,1.4142455567170122,none,187.0,15.032016298263104,0.0017654312168300685,0,56,[],0.01100136642344296,None,None,166.19513150001876,166.19513150001876,0.21709396643564105,1.6313395231526533,166.40805809991434,166.19513150001876,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,4,0,4,0,,,,,,,,2.239870379894719,none,530.0,10.823392554220415,0.0002321220746797398,0,57,[],0.007497466402128339,None,['space'],167.84947360004298,167.84947360004298,0.21664526662789285,2.456515646522612,168.069112499943,167.84947360004298,[-1.2698261998593807],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,5,0,5,0,,,,,,,,2.377507614618049,none,842.0,11.068953515370996,0.00014148931075961196,0,58,[],0.00955216633155942,None,['space'],170.33166379993781,170.33166379993781,0.21894176630303264,2.5964493809210816,170.54161359998398,170.33166379993781,[-1.9278526999987662],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,6,0,6,0,,,,,,,,2.6242060099326716,none,668.0,11.134790937521736,0.0001723697520825621,0,59,[],0.003263266524299979,None,['space'],172.9504098999314,172.9504098999314,0.202739066677168,2.8269450766098396,173.17543400009163,172.9504098999314,[-2.0023830998688936],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,7,0,7,0,,,,,,,,2.719861416221155,none,595.0,9.566191300199492,0.00017033943109475794,0,60,[],0.004133966518566012,None,['space'],175.83063059998676,175.83063059998676,0.20576816657558084,2.925629582796736,176.05133010004647,175.83063059998676,[-0.9468787999358028],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,8,0,8,0,,,,,,,,2.870661678275348,none,1262.0,16.893302286194242,0.00037910103299928556,0,61,[],0.007946566678583622,None,['space'],178.7994629999157,178.7994629999157,0.2097115668002516,3.0803732450755996,179.01877700001933,178.7994629999157,[-2.411282100016251],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,9,0,9,0,,,,,,,,1.2398232736555794,none,1417.0,8.324169554487948,0.00013131715531543883,0,62,[],0.009165266528725624,None,['space'],181.9131491999142,181.9131491999142,0.22446506656706333,1.4642883402226428,182.13167889998294,181.9131491999142,[-2.6615279000252485],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
4,0,4,0,10,0,10,0,,,,,,,,2.8899346802147936,none,125.0,9.36393635239176,0.00212406020303665,0,63,[],0.009409366408362985,None,['space'],183.39663370000198,183.39663370000198,0.2181732663884759,3.1081079466032695,183.61322569986805,183.39663370000198,[-1.0233772997744381],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
5,0,5,0,0,0,0,0,,,,,0.5833333333333334,189.89329829998314,None,1.1834249216292496,both,8000.0,-11.0,5.116464961403774e-05,0,35,[],0.007248066598549485,None,None,190.9086718999315,None,0.21028996678069234,1.393714888409942,191.12991699995473,None,,186.53413049993105,None,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
5,0,5,0,1,0,1,0,,,,,,,,1.1834249216292496,both,5339.0,-8.108582909833506,5.513891117781387e-05,0,36,[],0.008677566656842828,None,None,192.34677949990146,192.34677949990146,0.21821116656064987,1.4016360881898995,192.55772839998826,192.34677949990146,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
5,0,5,0,2,0,2,0,,,,,,,,1.1834249216292496,both,3563.0,-10.175370038993702,2.3636321006457122e-05,0,37,[],0.009596066549420357,None,None,193.76539180008695,193.76539180008695,0.22216466651298106,1.4055895881422307,193.9781817998737,193.76539180008695,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
5,0,5,0,3,0,3,0,,,,,,,,1.1834249216292496,both,2378.0,1.8599591280255217,0.00010305625680527088,0,38,[],0.008729166584089398,None,None,195.1834485998843,195.1834485998843,0.21425336645916104,1.3976782880884107,195.4048679000698,195.1834485998843,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
