practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.010515433270484209,None,['space'],1,[0.530741999973543],320.8958562000189,321.9248065999709,None,1,321.9248065999709,320.8958562000189,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,5656.85424949238,4.0,0.0002036963151476006,False,0.011219399981200695,None,['space'],1,[0.45132790005300194],325.43881059996784,326.4432197000133,None,1,326.4432197000133,325.43881059996784,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,466.5164957684038,-1.0,6.519999376391703e-05,False,0.010990799986757338,None,None,0,,330.1666022000136,331.1799989999272,None,1,331.1799989999272,330.1666022000136,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,3482.202253184498,13.0,0.00033434591097166176,False,0.010491600027307868,None,['space'],1,[0.38920740003231913],335.1655738999834,336.1745302999625,None,1,336.1745302999625,335.1655738999834,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,287.17458874925893,-4.0,8.082540045571802e-05,False,0.013838366838172078,None,None,0,,340.16395009995904,341.17766389995813,None,1,341.17766389995813,340.16395009995904,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.013944233418442309,None,None,0,,343.4468042999506,344.45564880000893,None,1,344.45564880000893,343.4468042999506,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,757.8582832551998,-2.0,3.199889122806967e-05,False,0.001397033454850316,0.1919732333626598,None,0,,348.07515799999237,349.0926075000316,None,1,349.0926075000316,348.07515799999237,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,1414.213562373095,4.0,7.992987241891393e-05,False,0.000945566687732935,None,['space'],1,[0.6112218999769539],352.8472623999696,353.8642751999432,None,1,353.8642751999432,352.8472623999696,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,5656.85424949238,2.0,0.00016180173443103448,False,0.0014624333707615733,None,['space'],1,[0.40316109999548644],357.5349992000265,358.54290749994107,None,1,358.54290749994107,357.5349992000265,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,3.0,0.001020868972334765,False,0.0014436667552217841,0.19346366671379656,None,0,,362.3896208999213,363.412121500005,None,1,363.412121500005,362.3896208999213,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
