sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_both,Audiogram_frequency,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,9,0,9,0,,,,,,,,1.939174257146009,none,446.0,1.9734743940444117,9.313235457325639e-05,0,35,[],0.01084336667554453,None,None,95.7008438000048,95.7008438000048,0.21476406668080017,2.153938323826809,95.91443340000114,95.7008438000048,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,1.8120197747595164,none,,,,1,35,[],0.0072759666363708675,0.2011303666222375,None,97.88075250000111,97.88075250000111,0.2011303666222375,2.013150141381754,98.09572349998052,97.88075250000111,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,"[0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333]",103.57645799999591,None,1.298574500273373,time,,,,1,35,[],0.012797266652341932,None,None,104.60127759998431,None,0.2211181666352786,1.5196926669086517,104.81689799999003,None,,99.93878860000405,None,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,1.298574500273373,time,831.0,-5.386535811906288,2.1110741311916535e-05,0,36,[],0.011050566652556881,None,None,106.1373709999898,106.1373709999898,0.22151006665080786,1.520084566924181,106.35640419999254,106.1373709999898,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,1.298574500273373,time,2962.0,-5.4554397740284495,3.051495636763142e-05,0,37,[],0.010803166660480201,None,None,107.6797544999863,107.6797544999863,0.2167239666741807,1.5152984669475538,107.89155060000485,107.6797544999863,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,1.298574500273373,time,2351.0,3.1789579863918185,0.00011909361784753964,0,38,[],0.010741466656327248,None,None,109.21526769999764,109.21526769999764,0.22487366665154696,1.52344816692492,109.43350109999301,109.21526769999764,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,1.298574500273373,time,5278.0,-6.0,7.141639309910207e-05,0,39,[],0.010640866647008806,None,None,110.75731950000045,110.75731950000045,0.22861696663312614,1.5271914669064992,110.9639157000056,110.75731950000045,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,1.298574500273373,time,1866.0,-1.508942329487403,5.7795862905748305e-05,0,40,[],0.0031802666489966214,None,None,112.29821489998722,112.29821489998722,0.20242436663829722,1.5009988669116703,112.51629149998189,112.29821489998722,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,1.298574500273373,time,1245.0,1.5453159044890858,6.487335172720338e-05,0,41,[],0.007140266650822014,0.20597636664751917,None,113.84334369999124,113.84334369999124,0.20597636664751917,1.5045508669208922,114.0628880999866,113.84334369999124,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,1.298574500273373,time,3325.0,-4.08298293665869,4.5053962690366074e-05,0,42,[],0.010660466650733724,None,None,115.38615629999549,115.38615629999549,0.21507276664488018,1.5136472669182532,115.59976290000486,115.38615629999549,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,1.298574500273373,time,6650.0,-5.858596127279283,7.163231468397257e-05,0,43,[],0.010658666637027636,None,None,116.93740870000329,116.93740870000329,0.232719666644698,1.531294166918071,117.15645340000628,116.93740870000329,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
2,0,2,0,9,0,9,0,,,,,,,,1.298574500273373,time,555.0,1.0997552513876308,7.135007835920277e-05,0,44,[],0.010687166708521545,None,['space'],118.4758290000027,118.4758290000027,0.2205852666811552,1.5191597669545283,118.6905394999776,118.4758290000027,[-1.1316405999823473],,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
3,0,3,0,0,0,0,0,,,,,,122.20041279998259,None,1.0123750008148893,both,140.0,1.318214107895696,0.0006857360251251302,0,26,[],0.012479166645789519,None,None,123.22660679998808,None,0.23723316664109007,1.2496081674559794,123.44215479999548,None,,120.01221929999883,None,0.3333333333333333,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
3,0,3,0,1,0,1,0,,,,,,,,1.0123750008148893,both,177.0,0.3950154887926744,0.00036545557678020367,0,27,[],0.009780066669918597,None,None,124.48652839998249,124.48652839998249,0.21156936668558046,1.2239443675004698,124.70524779998232,124.48652839998249,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
3,0,3,0,2,0,2,0,,,,,,,,1.0123750008148893,both,223.0,1.8225121831477806,0.0002718313017058988,0,28,[],0.00755716665298678,None,None,125.73895939998329,125.73895939998329,0.20819586666766554,1.2205708674825548,125.95587879998493,125.73895939998329,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
3,0,3,0,3,0,3,0,,,,,,,,1.0123750008148893,both,281.0,5.528368321568094,0.0002544461470450833,0,29,[],0.010123866668436676,None,None,127.00038449998829,127.00038449998829,0.2166520666796714,1.2290270674945607,127.20727869999246,127.00038449998829,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
3,0,3,0,4,0,4,0,,,,,,,,1.0123750008148893,both,354.0,1.0,9.929457867117957e-05,0,30,[],0.00914546666899696,None,None,128.25433739999426,128.25433739999426,0.21558286668732762,1.227957867502217,128.47357979998924,128.25433739999426,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
3,0,3,0,5,0,5,0,,,,,,,,1.0123750008148893,both,446.0,1.33247681514277,8.650689098864764e-05,0,31,[],0.009224466630257666,None,None,129.51155880000442,129.51155880000442,0.22500596664031036,1.2373809674551997,129.73240829998394,129.51155880000442,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
